uid,m2,bdmbidprice,treatment,bought_ao
1005015,W1,290,1,1
2013041,W1,490,1,1
1038033,W2,,1,1
2041131E,W1,0,,0
2041114E,W1,40,,0
2040011,W2,,3,0
2041130E,W1,0,,0
2012025,W1,40,1,0
1016002,W1,40,1,0
2008027,W1,140,2,1
2012006,W1,190,2,1
2012026,W1,40,3,0
2007129F,W1,0,,0
1037001,W2,,3,0
2041097E,W1,0,,0
2026002,W2,,2,0
2041094E,W1,40,,0
2007003,W1,40,3,0
1032021,W2,,1,0
2013133F,W1,40,,0
1001030,W2,,1,0
2024001,W1,40,1,1
1001019,W1,490,2,1
2025017,W1,40,1,0
1041059E,W2,,,0
1037015,W1,90,1,0
1004124F,W1,40,,0
1011012,W1,40,2,0
1030014,W1,140,2,0
1041029E,W1,90,,1
2026019,W1,40,2,0
1037009,W1,290,3,1
1004001,W1,40,2,0
2013015,W1,190,3,0
1032018,W1,40,1,0
2029029,W1,90,2,1
1034202F,W2,,,0
1005116F,W1,90,,0
1002032,W2,,2,1
1041030E,W1,40,,0
1027011,W2,,1,1
1022135F,W1,40,,0
1022204F,W1,290,,0
1016007,W1,190,1,1
2015024,W1,490,2,0
1022117F,W1,190,,1
1022206F,W1,40,,0
1038014,W2,,1,0
1022134F,W2,,,0
1006025,W1,140,3,1
1006125F,W1,90,,1
2021008,W1,40,1,1
1022103F,W1,40,,0
1041128E,W1,190,,1
1022131F,W1,290,,1
1022130F,W2,,,0
1041021E,W1,40,,0
1022201F,W1,240,,0
1033033,W1,40,2,1
1022127F,W1,190,,1
1022123F,W1,40,,0
1022109F,W1,40,,0
1030019,W2,,1,0
1019211F,W1,40,,0
1032040,W1,290,2,1
1041010E,W1,40,,0
1041055E,W1,40,,0
1005002,W1,40,1,0
1022108F,W1,90,,0
1022107F,W2,,,0
2025006,W1,,3,0
2007025,W1,140,3,0
2014126F,W2,,,1
2025212F,W1,40,,0
2008019,W1,40,2,0
2025024,W1,90,2,1
2028025,W1,490,1,1
2020002,W2,,1,1
2035110F,W1,40,,1
2017116F,W1,40,,0
2035117F,W2,,,0
1039010,W1,,1,0
2017205F,W2,,,0
2040135F,W2,,,1
2014101F,W2,,,0
1038008,W2,,3,0
2036028,W1,90,3,0
2012022,W2,,3,0
2041138E,W2,,,0
1030034,W1,,3,0
2041041E,W1,240,,1
2041063E,W2,,,1
1010009,W2,,1,0
2025134F,W1,40,,0
2020037,W2,,2,0
2025106F,W1,290,,1
2017211F,W1,40,,0
1037020,W2,,3,0
2041129E,W2,,,0
2009108F,W1,0,,0
2041017E,W1,90,,1
2041037E,W1,40,,0
2015120F,W1,190,,1
2035125F,W1,40,,0
2017104F,W1,40,,0
2041021E,W1,40,,0
2035131F,W1,390,,1
1038021,W1,290,3,1
2015113F,W2,,,0
2017018,W1,140,1,0
1001039,W2,,3,0
2018120F,W1,40,,1
1038037,W1,40,3,0
2008039,W1,490,3,1
1033002,W1,40,2,0
2025218F,W1,0,,0
2018108F,W1,490,,1
2041029E,W2,,,0
2025025,W2,,3,0
2041035E,W1,40,,0
1034011,W1,290,3,0
1001005,W1,40,3,0
1023025,W1,40,2,0
2003103F,W1,40,,0
2041040E,W1,40,,0
2018010,W1,490,1,0
2036023,W2,,2,0
2024022,W1,90,2,0
2041133E,W2,,,0
2035007,W1,390,2,0
2008033,W1,190,1,0
2036012,W2,,2,0
2015032,W1,90,2,1
1030003,W1,90,1,0
2015201F,W1,490,,0
1019005,W2,,2,1
2015127F,W2,,,0
1037034,W2,,2,0
2041043E,W1,90,,0
2041034E,W1,40,,0
2003121F,W1,90,,1
2041024E,W2,,,0
2015131F,W2,,,1
2009014,W1,90,2,0
2015103F,W2,,,1
2026007,W1,90,1,1
2035001,W1,140,2,1
2013029,W1,140,1,0
1033012,W1,140,1,1
1034018,W1,40,3,0
2015210F,W1,490,,1
1001032,W1,490,1,0
2014114F,W1,90,,0
2013101F,W1,0,,0
2013110F,W1,0,,0
2041010E,W1,40,,0
1023013,W1,,3,0
1001020,W1,90,1,0
1037012,W1,40,2,0
2014130F,W1,90,,0
2013019,W1,140,3,1
2017020,W1,90,3,0
1011031,W1,40,2,0
1022012,W1,90,2,0
2020110F,W2,,,0
2017027,W2,,3,1
1038023,W1,90,2,0
1032007,W2,,3,1
2014132F,W2,,,0
2013210F,W1,90,,0
2021013,W1,40,2,0
2020001,W2,,2,1
2041050E,W1,40,,0
2013130F,W2,,,0
2041013E,W2,,,1
2020131F,W1,40,,0
1005043,W2,,2,0
1001014,W1,290,2,1
2020116F,W2,,,0
2026015,W1,140,1,1
1019030,W1,190,2,0
2020113F,W2,,,0
2041124E,W2,,,0
